country_id,year_id,indicator_id,sex_id,Value
27,2017-01-01,1,1,116.27
27,2018-01-01,1,1,115.17
27,2019-01-01,1,1,113.42
27,2020-01-01,1,1,112.23
27,2021-01-01,1,1,110.51
28,2011-01-01,1,1,73.44
28,2012-01-01,1,1,70.1
28,2013-01-01,1,1,65.35
28,2014-01-01,1,1,62.04
28,2015-01-01,1,1,60.5
28,2016-01-01,1,1,58.39
28,2017-01-01,1,1,56.59
28,2018-01-01,1,1,56.27
28,2019-01-01,1,1,54.86
28,2020-01-01,1,1,54.36
28,2021-01-01,1,1,53.62
29,2011-01-01,1,1,76.97
29,2012-01-01,1,1,71.42
29,2013-01-01,1,1,68.69
29,2014-01-01,1,1,66.64
29,2015-01-01,1,1,64.66
29,2016-01-01,1,1,65.12
29,2017-01-01,1,1,62.57
29,2018-01-01,1,1,57.39
29,2019-01-01,1,1,56.45
29,2020-01-01,1,1,55.95
29,2021-01-01,1,1,55.23
30,2011-01-01,1,1,50.98
30,2012-01-01,1,1,52.85
30,2013-01-01,1,1,53.47
30,2014-01-01,1,1,52.12
30,2015-01-01,1,1,50.0
30,2016-01-01,1,1,48.65
30,2017-01-01,1,1,48.05
30,2018-01-01,1,1,47.82
30,2019-01-01,1,1,46.89
30,2020-01-01,1,1,46.34
30,2021-01-01,1,1,45.45
31,2011-01-01,1,1,127.93
31,2012-01-01,1,1,122.71
31,2013-01-01,1,1,121.07
31,2014-01-01,1,1,119.04
31,2015-01-01,1,1,118.84
31,2016-01-01,1,1,118.65
31,2017-01-01,1,1,118.24
31,2018-01-01,1,1,116.17
31,2019-01-01,1,1,114.53
31,2020-01-01,1,1,111.52
31,2021-01-01,1,1,110.38
32,2011-01-01,1,1,13.02
32,2012-01-01,1,1,12.56
32,2013-01-01,1,1,11.66
32,2014-01-01,1,1,10.86
32,2015-01-01,1,1,9.68
32,2016-01-01,1,1,8.61
32,2017-01-01,1,1,8.05
32,2018-01-01,1,1,7.09
32,2019-01-01,1,1,6.89
32,2020-01-01,1,1,6.98
32,2021-01-01,1,1,6.98
33,2011-01-01,1,1,166.46
33,2012-01-01,1,1,165.21
33,2013-01-01,1,1,163.1
33,2014-01-01,1,1,161.48
33,2015-01-01,1,1,160.53
33,2016-01-01,1,1,160.61
33,2017-01-01,1,1,161.93
33,2018-01-01,1,1,162.89
33,2019-01-01,1,1,162.61
33,2020-01-01,1,1,160.74
33,2021-01-01,1,1,160.51
34,2011-01-01,1,1,182.4
34,2012-01-01,1,1,178.37
34,2013-01-01,1,1,173.21
34,2014-01-01,1,1,166.99
34,2015-01-01,1,1,161.83
34,2016-01-01,1,1,154.98
34,2017-01-01,1,1,148.5
34,2018-01-01,1,1,144.66
34,2019-01-01,1,1,143.45
34,2020-01-01,1,1,141.34
34,2021-01-01,1,1,138.31
35,2011-01-01,1,1,52.14
35,2012-01-01,1,1,50.99
35,2013-01-01,1,1,48.37
35,2014-01-01,1,1,44.83
35,2015-01-01,1,1,40.07
35,2016-01-01,1,1,34.1
35,2017-01-01,1,1,27.98
35,2018-01-01,1,1,24.29
35,2019-01-01,1,1,24.13
35,2020-01-01,1,1,24.08
35,2021-01-01,1,1,24.08
36,2011-01-01,1,1,15.49
36,2012-01-01,1,1,16.26
36,2013-01-01,1,1,16.01
36,2014-01-01,1,1,16.39
36,2015-01-01,1,1,15.33
36,2016-01-01,1,1,15.28
36,2017-01-01,1,1,14.9
36,2018-01-01,1,1,13.32
36,2019-01-01,1,1,12.94
36,2020-01-01,1,1,11.73
36,2021-01-01,1,1,11.05
37,2011-01-01,1,1,77.64
37,2012-01-01,1,1,77.55
37,2013-01-01,1,1,75.84
37,2014-01-01,1,1,72.84
37,2015-01-01,1,1,69.8
37,2016-01-01,1,1,68.13
37,2017-01-01,1,1,66.23
37,2018-01-01,1,1,63.88
37,2019-01-01,1,1,61.82
37,2020-01-01,1,1,59.71
37,2021-01-01,1,1,59.03
38,2011-01-01,1,1,77.74
38,2012-01-01,1,1,75.32
38,2013-01-01,1,1,72.02
38,2014-01-01,1,1,69.53
38,2015-01-01,1,1,66.55
38,2016-01-01,1,1,64.26
38,2017-01-01,1,1,61.52
38,2018-01-01,1,1,61.58
38,2019-01-01,1,1,60.62
38,2020-01-01,1,1,59.17
38,2021-01-01,1,1,58.17
39,2011-01-01,1,1,123.81
39,2012-01-01,1,1,121.05
39,2013-01-01,1,1,118.33
39,2014-01-01,1,1,116.35
39,2015-01-01,1,1,115.05
39,2016-01-01,1,1,111.68
39,2017-01-01,1,1,109.82
39,2018-01-01,1,1,108.38
39,2019-01-01,1,1,106.7
39,2020-01-01,1,1,104.81
39,2021-01-01,1,1,103.63
40,2011-01-01,1,1,64.91
40,2012-01-01,1,1,65.57
40,2013-01-01,1,1,62.31
40,2014-01-01,1,1,58.97
40,2015-01-01,1,1,55.25
40,2016-01-01,1,1,53.03
40,2017-01-01,1,1,53.78
40,2018-01-01,1,1,51.15
40,2019-01-01,1,1,44.88
40,2020-01-01,1,1,38.02
40,2021-01-01,1,1,37.15
41,2011-01-01,1,1,11.72
41,2012-01-01,1,1,11.14
41,2013-01-01,1,1,10.43
41,2014-01-01,1,1,10.22
41,2015-01-01,1,1,9.78
41,2016-01-01,1,1,9.88
41,2017-01-01,1,1,9.56
41,2018-01-01,1,1,9.04
41,2019-01-01,1,1,9.06
41,2020-01-01,1,1,8.9
41,2021-01-01,1,1,8.64
42,2011-01-01,1,1,57.66
42,2012-01-01,1,1,52.63
42,2013-01-01,1,1,51.3
42,2014-01-01,1,1,49.25
42,2015-01-01,1,1,50.28
42,2016-01-01,1,1,49.2
42,2017-01-01,1,1,51.21
42,2018-01-01,1,1,53.94
42,2019-01-01,1,1,52.62
42,2020-01-01,1,1,51.49
42,2021-01-01,1,1,48.82
43,2011-01-01,1,1,5.98
43,2012-01-01,1,1,6.03
43,2013-01-01,1,1,5.36
43,2014-01-01,1,1,5.29
43,2015-01-01,1,1,5.45
43,2016-01-01,1,1,6.04
43,2017-01-01,1,1,6.61
43,2018-01-01,1,1,7.14
43,2019-01-01,1,1,6.96
43,2020-01-01,1,1,6.9
43,2021-01-01,1,1,6.83
44,2011-01-01,1,1,11.92
44,2012-01-01,1,1,12.55
44,2013-01-01,1,1,12.23
44,2014-01-01,1,1,12.12
44,2015-01-01,1,1,11.63
44,2016-01-01,1,1,11.62
44,2017-01-01,1,1,11.52
44,2018-01-01,1,1,10.59
44,2019-01-01,1,1,9.85
44,2020-01-01,1,1,9.84
44,2021-01-01,1,1,9.71
45,2011-01-01,1,1,4.64
45,2012-01-01,1,1,4.5
45,2013-01-01,1,1,4.25
45,2014-01-01,1,1,3.83
45,2015-01-01,1,1,3.56
45,2016-01-01,1,1,3.51
45,2017-01-01,1,1,2.89
45,2018-01-01,1,1,2.5
45,2019-01-01,1,1,2.12
45,2020-01-01,1,1,1.89
45,2021-01-01,1,1,1.91
46,2011-01-01,1,1,24.68
46,2012-01-01,1,1,24.39
46,2013-01-01,1,1,24.11
46,2014-01-01,1,1,23.6
46,2015-01-01,1,1,23.27
46,2016-01-01,1,1,23.04
46,2017-01-01,1,1,22.96
46,2018-01-01,1,1,22.63
46,2019-01-01,1,1,22.72
46,2020-01-01,1,1,22.78
46,2021-01-01,1,1,22.72
47,2011-01-01,1,1,45.57
47,2012-01-01,1,1,44.58
47,2013-01-01,1,1,43.49
47,2014-01-01,1,1,42.37
47,2015-01-01,1,1,41.11
47,2016-01-01,1,1,39.64
47,2017-01-01,1,1,39.1
47,2018-01-01,1,1,39.35
47,2019-01-01,1,1,39.33
47,2020-01-01,1,1,39.02
47,2021-01-01,1,1,38.49
48,2011-01-01,1,1,109.03
48,2012-01-01,1,1,106.09
48,2013-01-01,1,1,100.15
48,2014-01-01,1,1,97.48
48,2015-01-01,1,1,95.12
48,2016-01-01,1,1,91.82
48,2017-01-01,1,1,87.91
48,2018-01-01,1,1,83.87
48,2019-01-01,1,1,78.46
48,2020-01-01,1,1,68.28
48,2021-01-01,1,1,65.63
49,2011-01-01,1,1,91.28
49,2012-01-01,1,1,90.0
49,2013-01-01,1,1,84.15
49,2014-01-01,1,1,80.12
49,2015-01-01,1,1,79.69
49,2016-01-01,1,1,75.1
49,2017-01-01,1,1,72.68
49,2018-01-01,1,1,71.38
49,2019-01-01,1,1,67.77
49,2020-01-01,1,1,63.94
49,2021-01-01,1,1,63.16
50,2011-01-01,1,1,58.1
50,2012-01-01,1,1,58.47
50,2013-01-01,1,1,59.12
50,2014-01-01,1,1,58.1
50,2015-01-01,1,1,56.93
50,2016-01-01,1,1,52.25
50,2017-01-01,1,1,50.62
50,2018-01-01,1,1,49.1
50,2019-01-01,1,1,46.43
50,2020-01-01,1,1,45.67
50,2021-01-01,1,1,44.77
51,2011-01-01,1,1,70.95
51,2012-01-01,1,1,70.64
51,2013-01-01,1,1,70.62
51,2014-01-01,1,1,70.11
51,2015-01-01,1,1,70.36
51,2016-01-01,1,1,65.21
51,2017-01-01,1,1,61.53
51,2018-01-01,1,1,58.2
51,2019-01-01,1,1,57.81
51,2020-01-01,1,1,56.83
51,2021-01-01,1,1,55.89
52,2011-01-01,1,1,170.48
52,2012-01-01,1,1,168.73
52,2013-01-01,1,1,167.1
52,2014-01-01,1,1,163.44
52,2015-01-01,1,1,161.13
52,2016-01-01,1,1,158.43
52,2017-01-01,1,1,156.05
52,2018-01-01,1,1,152.6
52,2019-01-01,1,1,148.87
52,2020-01-01,1,1,143.94
52,2021-01-01,1,1,139.71
53,2011-01-01,1,1,73.04
53,2012-01-01,1,1,72.02
53,2013-01-01,1,1,71.13
53,2014-01-01,1,1,71.0
53,2015-01-01,1,1,70.69
53,2016-01-01,1,1,69.79
53,2017-01-01,1,1,68.3
53,2018-01-01,1,1,66.64
53,2019-01-01,1,1,65.92
53,2020-01-01,1,1,64.78
53,2021-01-01,1,1,64.36
54,2011-01-01,1,1,17.43
54,2012-01-01,1,1,16.33
54,2013-01-01,1,1,16.37
54,2014-01-01,1,1,15.38
54,2015-01-01,1,1,12.85
54,2016-01-01,1,1,10.9
54,2017-01-01,1,1,9.81
54,2018-01-01,1,1,9.4
54,2019-01-01,1,1,8.69
54,2020-01-01,1,1,8.83
54,2021-01-01,1,1,8.76
55,2011-01-01,1,1,82.8
55,2012-01-01,1,1,81.66
55,2013-01-01,1,1,81.51
55,2014-01-01,1,1,79.13
55,2015-01-01,1,1,77.11
55,2016-01-01,1,1,75.72
55,2017-01-01,1,1,74.42
55,2018-01-01,1,1,73.16
55,2019-01-01,1,1,71.81
55,2020-01-01,1,1,70.78
55,2021-01-01,1,1,69.93
56,2011-01-01,1,1,99.34
56,2012-01-01,1,1,89.33
56,2013-01-01,1,1,80.92
56,2014-01-01,1,1,79.7
56,2015-01-01,1,1,76.59
56,2016-01-01,1,1,74.23
56,2017-01-01,1,1,71.88
56,2018-01-01,1,1,71.27
56,2019-01-01,1,1,71.69
56,2020-01-01,1,1,70.64
56,2021-01-01,1,1,69.22
57,2011-01-01,1,1,40.62
57,2012-01-01,1,1,41.14
57,2013-01-01,1,1,41.74
57,2014-01-01,1,1,36.26
57,2015-01-01,1,1,30.94
57,2016-01-01,1,1,28.79
57,2017-01-01,1,1,28.06
57,2018-01-01,1,1,27.47
57,2019-01-01,1,1,27.21
57,2020-01-01,1,1,27.1
57,2021-01-01,1,1,26.84
58,2011-01-01,1,1,7.81
58,2012-01-01,1,1,7.65
58,2013-01-01,1,1,7.48
58,2014-01-01,1,1,7.25
58,2015-01-01,1,1,6.28
58,2016-01-01,1,1,5.5
58,2017-01-01,1,1,4.86
58,2018-01-01,1,1,4.33
58,2019-01-01,1,1,4.09
58,2020-01-01,1,1,4.09
58,2021-01-01,1,1,4.16
59,2011-01-01,1,1,10.33
59,2012-01-01,1,1,10.04
59,2013-01-01,1,1,9.4
59,2014-01-01,1,1,9.07
59,2015-01-01,1,1,8.27
59,2016-01-01,1,1,7.58
59,2017-01-01,1,1,7.29
59,2018-01-01,1,1,8.17
59,2019-01-01,1,1,9.66
59,2020-01-01,1,1,9.41
59,2021-01-01,1,1,9.53
60,2011-01-01,1,1,111.74
60,2012-01-01,1,1,109.05
60,2013-01-01,1,1,107.52
60,2014-01-01,1,1,105.57
60,2015-01-01,1,1,103.62
60,2016-01-01,1,1,101.37
60,2017-01-01,1,1,99.04
60,2018-01-01,1,1,97.64
60,2019-01-01,1,1,94.8
60,2020-01-01,1,1,92.63
60,2021-01-01,1,1,91.18
61,2011-01-01,1,1,93.04
61,2012-01-01,1,1,91.6
