country_id,year_id,indicator_id,sex_id,Value,is_missing
25,2012-01-01,1,2,14.87,0
25,2013-01-01,1,2,13.55,0
25,2014-01-01,1,2,12.27,0
25,2015-01-01,1,2,11.52,0
25,2016-01-01,1,2,10.62,0
25,2017-01-01,1,2,10.03,0
25,2018-01-01,1,2,10.02,0
25,2019-01-01,1,2,9.96,0
25,2020-01-01,1,2,10.03,0
25,2021-01-01,1,2,9.98,0
26,2011-01-01,1,2,42.7,0
26,2012-01-01,1,2,43.33,0
26,2013-01-01,1,2,42.78,0
26,2014-01-01,1,2,42.0,0
26,2015-01-01,1,2,39.2,0
26,2016-01-01,1,2,37.92,0
26,2017-01-01,1,2,38.4,0
26,2018-01-01,1,2,39.21,0
26,2019-01-01,1,2,39.24,0
26,2020-01-01,1,2,39.22,0
26,2021-01-01,1,2,38.6,0
27,2011-01-01,1,2,130.06,0
27,2012-01-01,1,2,130.33,0
27,2013-01-01,1,2,130.29,0
27,2014-01-01,1,2,127.01,0
27,2015-01-01,1,2,122.57,0
27,2016-01-01,1,2,118.47,0
27,2017-01-01,1,2,116.27,0
27,2018-01-01,1,2,115.17,0
27,2019-01-01,1,2,113.42,0
27,2020-01-01,1,2,112.23,0
27,2021-01-01,1,2,110.51,0
28,2011-01-01,1,2,73.44,0
28,2012-01-01,1,2,70.1,0
28,2013-01-01,1,2,65.35,0
28,2014-01-01,1,2,62.04,0
28,2015-01-01,1,2,60.5,0
28,2016-01-01,1,2,58.39,0
28,2017-01-01,1,2,56.59,0
28,2018-01-01,1,2,56.27,0
28,2019-01-01,1,2,54.86,0
28,2020-01-01,1,2,54.36,0
28,2021-01-01,1,2,53.62,0
29,2011-01-01,1,2,76.97,0
29,2012-01-01,1,2,71.42,0
29,2013-01-01,1,2,68.69,0
29,2014-01-01,1,2,66.64,0
29,2015-01-01,1,2,64.66,0
29,2016-01-01,1,2,65.12,0
29,2017-01-01,1,2,62.57,0
29,2018-01-01,1,2,57.39,0
29,2019-01-01,1,2,56.45,0
29,2020-01-01,1,2,55.95,0
29,2021-01-01,1,2,55.23,0
30,2011-01-01,1,2,50.98,0
30,2012-01-01,1,2,52.85,0
30,2013-01-01,1,2,53.47,0
30,2014-01-01,1,2,52.12,0
30,2015-01-01,1,2,50.0,0
30,2016-01-01,1,2,48.65,0
30,2017-01-01,1,2,48.05,0
30,2018-01-01,1,2,47.82,0
30,2019-01-01,1,2,46.89,0
30,2020-01-01,1,2,46.34,0
30,2021-01-01,1,2,45.45,0
31,2011-01-01,1,2,127.93,0
31,2012-01-01,1,2,122.71,0
31,2013-01-01,1,2,121.07,0
31,2014-01-01,1,2,119.04,0
31,2015-01-01,1,2,118.84,0
31,2016-01-01,1,2,118.65,0
31,2017-01-01,1,2,118.24,0
31,2018-01-01,1,2,116.17,0
31,2019-01-01,1,2,114.53,0
31,2020-01-01,1,2,111.52,0
31,2021-01-01,1,2,110.38,0
32,2011-01-01,1,2,13.02,0
32,2012-01-01,1,2,12.56,0
